func_name,salary_from,salary_to
高级商家运营,13.5,27.5
高级软件测试工程师,12.7,19.2
高级全栈工程师,20,32
高级驱动开发工程师,15,25
高级区块链开发工程师,24.6,43.1
高级嵌入式硬件开发工程师,14,26
高级嵌入式软件开发工程师,19.2,31.4
高级契约管理,13.1,23.7
高级企业服务产品经理,23.5,41
高级平面设计师,15,25
高级品类运营,15.8,29.2
高级配置管理经理/高级配置管理主管,15,25
高级配置管理工程师,17,32.2
高级爬虫工程师,14.8,24
高级内容运营,14.2,23.2
高级模具设计工程师,11.7,19.3
高级美术指导,12.5,22.5
高级美术特效,18.3,28.3
高级美术设计/高级图形设计,12.5,21.7
高级媒体广告设计,15,23.3
高级媒介投放,10.8,15
高级媒介合作,15,20
高级媒介顾问,12,15
高级媒介策划,15.8,21.7
高级旅游产品经理,26.3,40.4
高级理财经理,12.3,21
高级交互设计师,12.5,20.8
高级计算机辅助设计工程师,30,40
高级活动运营,14.6,26.3
高级活动策划,14,23.5
高级绘画,20,30
高级会展策划,12.5,15
高级互联网金融产品经理,19.7,31.7
高级核心网工程师,15,26
高级海外运营,15.4,25.6
高级广告制作,12,20
高级广告业务拓展,16.7,20
高级广告创意,10.8,18.3
高级光网络工程师,11.7,18.3
高级光通信工程师,15,26.7
高级光传输工程师,20,30
高级功能测试工程师,13.3,23.3
高级风险控制,33,51
高级风险管理,16.7,23.3
高级仿真应用工程师,15.4,30
高级多媒体设计/高级动画设计,12.1,19.6
高级多媒体开发工程师,21.7,34.4
高级电信网络工程师,19,24
高级电信交换工程师,12,20
高级电商运营,13.8,22.8
高级电商产品经理,21.5,36.9
高级单片机工程师,14,22.1
高级大客户销售,15.2,23.3
高级产品运营,15,25
高级产品经理/高级产品主管,17,26
高级策略运营,24.2,34.2
高级策略产品经理,22.8,42.8
高级策划,15,20
高级测试开发工程师,13.3,21.7
高级测试工程师,15.4,23.7
高级保险精算师,20,38.7
高级安全测试工程师,18,33
高级wp开发工程师,15.3,23.9
高级web前端开发工程师,18.3,28.3
高级vb工程师,12.1,17.8
高级ui设计师,14.5,22.4
高级u3d开发工程师,16.7,28.3
高级ruby工程师,17.7,29.6
高级python工程师,19.4,31.1
高级plc工程师,11.8,20.3
高级php工程师,17.1,24.6
高级perl工程师,20.5,31.4
高级node.js工程师,17.3,26.7
高级java工程师,21.8,24.1
高级javascript工程师,17,25.3
高级ios开发工程师,15,23.3
高级html5工程师,14.3,24.8
高级hadoop/hive/spark工程师,21.2,33.7
高级gui,16.3,28.8
高级golang工程师,23.1,41.4
高级fpga工程师,14.2,25
高级flash设计,15,25
高级flash开发工程师,16.5,23.5
高级etl工程师,15.3,26.2
高级erp实施顾问,15,25.4
高级erp技术开发工程师,11.7,19.2
高级erlang工程师,20.6,30.4
高级dsp开发工程师,21.5,30.2
高级delphi工程师,16.9,25.4
高级c工程师,18.3,31.3
高级cocos2d-x开发工程师,15.2,25
高级c++工程师,15,25
高级c#工程师,12,19.5
高级bi工程师,16,25.5
高级asp工程师,12,20
高级arm工程师,17.3,26.3
高级app设计,20,35
高级android开发工程师,13.3,21.7
高级3d设计/高级3d制作,12.9,20.4
高级.net工程师,15.6,25.8
副总裁/副总经理,17.6,26.4
风控主管,15,23
分公司负责人,15,22.7
法务总监,24.2,35
法务经理/法务主管,13.5,27.5
电子商务总监,15,25
电子商务经理/电子商务主管,13.5,22.5
大客户销售管理,19.7,30.6
促销经理/促销主管,19,30
创意指导/创意总监,20,30
成本经理/成本主管,12.1,18.3
产品总监,20.3,30.1
产品vp,35,50
测试经理/测试主管,15,25
财务总监,19.6,29.4
财务主管,10.4,15.8
财务经理,15.5,19.2
财务顾问,13.8,22.5
财务分析经理/财务分析主管,16.7,29.6
办公室主任,12.5,20
安全专家,21.4,37.8
seo搜索引擎优化主管,10.8,14.2
sem搜索引擎营销主管,10,13.3
pmo,23.3,37.1
首席市场官/cmo,25,35
助理总经理,14.2,21
数据科学总监,40,67.5
数据智能总监,40,67.5
视觉专家,20,30
交互专家,27,37.5
高级数据建模分析师,25,30
高级人力资源伙伴(hrbp),17,25
高级数据库管理员(dba),20,32.4
